	Timestamp	Price	MarketCap	TotalVolumes	TimestampMod	date	year	month	day	hour	minute	second
54	1684972800000	19.214323127332815	7619548993.269599	317110913.7217349	1684972800.0	2023-05-25 00:00:00	2023	5	25	0	0	0
55	1685059200000	19.25614469626469	7626215765.408768	231050352.92165512	1685059200.0	2023-05-26 00:00:00	2023	5	26	0	0	0
56	1685145600000	19.36699951306376	7676617783.5293455	181186113.21084023	1685145600.0	2023-05-27 00:00:00	2023	5	27	0	0	0
57	1685232000000	20.405231600621736	8089935112.023952	209249088.6518294	1685232000.0	2023-05-28 00:00:00	2023	5	28	0	0	0
58	1685318400000	20.815122816700484	8259241871.664162	319936574.8104172	1685318400.0	2023-05-29 00:00:00	2023	5	29	0	0	0
59	1685404800000	20.57365784393182	8162528825.077333	263476675.879753	1685404800.0	2023-05-30 00:00:00	2023	5	30	0	0	0
60	1685491200000	21.24838739611184	8420948536.256156	390015607.56853145	1685491200.0	2023-05-31 00:00:00	2023	5	31	0	0	0
61	1685577600000	20.82042686685682	8253719265.038129	264038937.441645	1685577600.0	2023-06-01 00:00:00	2023	6	1	0	0	0
62	1685664000000	20.512888560566594	8135209555.988281	229620968.9783873	1685664000.0	2023-06-02 00:00:00	2023	6	2	0	0	0
63	1685750400000	21.257126169627412	8440560224.313393	262878676.0490332	1685750400.0	2023-06-03 00:00:00	2023	6	3	0	0	0
64	1685836800000	21.148206267732874	8395562285.774495	159566542.16562247	1685836800.0	2023-06-04 00:00:00	2023	6	4	0	0	0
65	1685923200000	21.869750120036684	8705745044.414808	372653389.2570282	1685923200.0	2023-06-05 00:00:00	2023	6	5	0	0	0
66	1686009600000	20.082497255511015	7993273614.350522	663116037.0576035	1686009600.0	2023-06-06 00:00:00	2023	6	6	0	0	0
67	1686096000000	20.399316366367188	8102758544.84506	490820421.98380524	1686096000.0	2023-06-07 00:00:00	2023	6	7	0	0	0
68	1686182400000	18.64940911323256	7429398031.748883	412771478.26392466	1686182400.0	2023-06-08 00:00:00	2023	6	8	0	0	0
69	1686268800000	18.91886786249937	7533243369.330318	295929574.27186555	1686268800.0	2023-06-09 00:00:00	2023	6	9	0	0	0
70	1686355200000	17.319852048307002	6890419608.144915	511958399.05938685	1686355200.0	2023-06-10 00:00:00	2023	6	10	0	0	0
71	1686441600000	15.712291030595962	6262620811.883113	1409006890.3433423	1686441600.0	2023-06-11 00:00:00	2023	6	11	0	0	0
72	1686528000000	15.552165715300829	6191248338.350977	495437298.97303975	1686528000.0	2023-06-12 00:00:00	2023	6	12	0	0	0
73	1686614400000	15.219121441698295	6067764743.466437	431328719.29389066	1686614400.0	2023-06-13 00:00:00	2023	6	13	0	0	0
74	1686700800000	14.996084137168715	5975770710.188687	403335227.95252687	1686700800.0	2023-06-14 00:00:00	2023	6	14	0	0	0
75	1686787200000	14.511891316589251	5789069977.260347	327310831.82671124	1686787200.0	2023-06-15 00:00:00	2023	6	15	0	0	0
76	1686873600000	14.741774826096673	5880524857.505803	371929576.69780713	1686873600.0	2023-06-16 00:00:00	2023	6	16	0	0	0
77	1686960000000	15.305652843805758	6109552126.06054	256057658.1759769	1686960000.0	2023-06-17 00:00:00	2023	6	17	0	0	0
78	1687046400000	15.626354272653252	6246219926.833057	218008809.31199142	1687046400.0	2023-06-18 00:00:00	2023	6	18	0	0	0
79	1687132800000	15.434485233897272	6170109454.954071	155673889.3726953	1687132800.0	2023-06-19 00:00:00	2023	6	19	0	0	0
80	1687219200000	16.038762253116875	6382655003.177078	150009939.35791972	1687219200.0	2023-06-20 00:00:00	2023	6	20	0	0	0
81	1687305600000	16.625143403026637	6629964493.675703	248748774.3427503	1687305600.0	2023-06-21 00:00:00	2023	6	21	0	0	0
82	1687392000000	17.263202092310653	6903161332.170283	315268431.8778776	1687392000.0	2023-06-22 00:00:00	2023	6	22	0	0	0
83	1687478400000	16.645392580230443	6663990154.562925	295506781.44293725	1687478400.0	2023-06-23 00:00:00	2023	6	23	0	0	0
84	1687564800000	17.100927585909893	6825331675.927217	328345333.92381984	1687564800.0	2023-06-24 00:00:00	2023	6	24	0	0	0
85	1687651200000	16.63062758389679	6642182122.570187	235858972.60968322	1687651200.0	2023-06-25 00:00:00	2023	6	25	0	0	0
86	1687737600000	16.96011970924781	6785842637.336145	212892011.92185184	1687737600.0	2023-06-26 00:00:00	2023	6	26	0	0	0
87	1687824000000	16.284012804480415	6497000673.693492	246629750.07322228	1687824000.0	2023-06-27 00:00:00	2023	6	27	0	0	0
88	1687910400000	16.60408750457774	6626087422.922995	232332350.0357121	1687910400.0	2023-06-28 00:00:00	2023	6	28	0	0	0
89	1687996800000	15.996424735598712	6403600623.488655	301702745.20938724	1687996800.0	2023-06-29 00:00:00	2023	6	29	0	0	0
90	1688083200000	17.998439800632905	7187331652.66652	635900925.9452425	1688083200.0	2023-06-30 00:00:00	2023	6	30	0	0	0
91	1688169600000	18.93035984897103	7567998783.5705805	828667787.0041169	1688169600.0	2023-07-01 00:00:00	2023	7	1	0	0	0
92	1688256000000	18.612769704794168	7437496981.577963	280718699.5696731	1688256000.0	2023-07-02 00:00:00	2023	7	2	0	0	0
93	1688342400000	19.44673332510388	7792444090.1257925	474851803.7888158	1688342400.0	2023-07-03 00:00:00	2023	7	3	0	0	0
94	1688428800000	19.20521438307814	7700930946.150432	280766166.6517864	1688428800.0	2023-07-04 00:00:00	2023	7	4	0	0	0
95	1688515200000	19.218958872995298	7724902370.005767	303069428.56264853	1688515200.0	2023-07-05 00:00:00	2023	7	5	0	0	0
96	1688601600000	18.972151107472232	7619692719.675487	234904855.4249562	1688601600.0	2023-07-06 00:00:00	2023	7	6	0	0	0
97	1688688000000	19.919047781939852	8013479115.45537	849101386.5457045	1688688000.0	2023-07-07 00:00:00	2023	7	7	0	0	0
98	1688774400000	21.43877643006556	8609626131.887451	827536919.6324662	1688774400.0	2023-07-08 00:00:00	2023	7	8	0	0	0
99	1688860800000	21.896701111607186	8804631486.280863	596483861.204096	1688860800.0	2023-07-09 00:00:00	2023	7	9	0	0	0
100	1688947200000	21.351397376477994	8595004420.8743	364524219.78723484	1688947200.0	2023-07-10 00:00:00	2023	7	10	0	0	0
101	1689033600000	21.302647128052204	8559664093.103448	508301719.13718027	1689033600.0	2023-07-11 00:00:00	2023	7	11	0	0	0
102	1689120000000	22.068233989934726	8875741131.46763	431275744.9396116	1689120000.0	2023-07-12 00:00:00	2023	7	12	0	0	0
103	1689206400000	21.997627799970363	8862665910.429438	553660968.112081	1689206400.0	2023-07-13 00:00:00	2023	7	13	0	0	0
104	1689292800000	25.990368470421153	10410892785.973965	1191586017.5250535	1689292800.0	2023-07-14 00:00:00	2023	7	14	0	0	0
105	1689379200000	26.708371434451514	10743046575.077665	2112669368.826929	1689379200.0	2023-07-15 00:00:00	2023	7	15	0	0	0
106	1689465600000	27.351375942539022	11015911503.065817	1182553641.312105	1689465600.0	2023-07-16 00:00:00	2023	7	16	0	0	0
107	1689552000000	27.365079998210923	11002094754.605814	747993415.8682022	1689552000.0	2023-07-17 00:00:00	2023	7	17	0	0	0
108	1689638400000	26.861798043195297	10816613437.044512	1008258072.1988822	1689638400.0	2023-07-18 00:00:00	2023	7	18	0	0	0
109	1689724800000	25.526176388954614	10269805534.152487	690701365.242011	1689724800.0	2023-07-19 00:00:00	2023	7	19	0	0	0
110	1689811200000	26.353311684653363	10633423774.84343	591575595.4536291	1689811200.0	2023-07-20 00:00:00	2023	7	20	0	0	0
111	1689897600000	25.3350693194684	10227156125.30492	586428471.61985	1689897600.0	2023-07-21 00:00:00	2023	7	21	0	0	0
112	1689984000000	25.58950999514426	10346698670.509161	426785949.9273866	1689984000.0	2023-07-22 00:00:00	2023	7	22	0	0	0
113	1690070400000	24.45678468463933	9872947825.241152	325886121.21608216	1690070400.0	2023-07-23 00:00:00	2023	7	23	0	0	0
